QuestionId,OriginalFileName,NewFileName,MediaFullPath,NewMediaFullPath,LocalMediaPath,Source,SectionCode,language_iso_code,subject_id,subject_name,grade_id,grade_url_text,country_iso_code,parent_id,clone_parent_id,Status,IsSuccess,Success,ErrorMessage
142157197056,583101939827.1.tex,,question/Clone/142157197056/583101939827.1.tex,,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/142157197056/tex/583101939827.1.tex,Database,917198752853,fr,464169569783,Mathématiques,979180725863,12,eg,583101939827,349153105368,Skipped,True,True,Record skipped - Status is 'Skipped' (only 'Mapped' records with Source='JSON' are processed)
142157197056,142157197056.1.svg,,question/Clone/142157197056/142157197056.1.svg,,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/142157197056/tex/142157197056.1.svg,Database,917198752853,fr,464169569783,Mathématiques,979180725863,12,eg,583101939827,349153105368,Skipped,True,True,Record skipped - Status is 'Skipped' (only 'Mapped' records with Source='JSON' are processed)
142157197056,583101939827.1.1.tex,,question/Clone/142157197056/142157197056.figures/583101939827.1.1.tex,,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/142157197056/tex/142157197056.figures/583101939827.1.1.tex,Database,917198752853,fr,464169569783,Mathématiques,979180725863,12,eg,583101939827,349153105368,Skipped,True,True,Record skipped - Status is 'Skipped' (only 'Mapped' records with Source='JSON' are processed)
142157197056,142157197056.1.tex,,question/Clone/142157197056/tex/142157197056.1.tex,,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/142157197056/tex/tex/142157197056.1.tex,Database,917198752853,fr,464169569783,Mathématiques,979180725863,12,eg,583101939827,349153105368,Skipped,True,True,Record skipped - Status is 'Skipped' (only 'Mapped' records with Source='JSON' are processed)
142157197056,142157197056.1.svg,142157197056.01.svg,https://files-cds-chestnut-com.s3.amazonaws.com/question/Clone/142157197056/142157197056.1.svg,142157197056.01.svg,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/142157197056/Updated/142157197056.01.svg,JSON,917198752853,fr,464169569783,Mathématiques,979180725863,12,eg,583101939827,349153105368,Success,True,True,
153196986259,153196986259.1.svg,153196986259.01.svg,https://files-cds-chestnut-com.s3.amazonaws.com/question/Clone/153196986259/153196986259.1.svg,153196986259.01.svg,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/153196986259/Updated/153196986259.01.svg,JSON,436169084952,fr,596139672187,Mathematics,747181064157,7,zz,356182123108,,Success,False,True,
154103794321,154103794321.1.tex,,question/Translation/154103794321/tex/154103794321.1.tex,,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/154103794321/tex/tex/154103794321.1.tex,Database,815193916062,ar,759129548570,تكنولوجيا المعلومات والاتصالات,898134813215,11,eg,905180797323,,Skipped,True,True,Record skipped - Status is 'Skipped' (only 'Mapped' records with Source='JSON' are processed)
165178467537,102101560845.1.tex,,question/Translation/165178467537/102101560845.1.tex,,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/165178467537/tex/102101560845.1.tex,Database,182193951937,pt,507192767485,Mathematics,612152797413,6,zz,102101560845,,Skipped,True,True,Record skipped - Status is 'Skipped' (only 'Mapped' records with Source='JSON' are processed)
165178467537,165178467537.1.tex,,question/Translation/165178467537/tex/165178467537.1.tex,,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/165178467537/tex/tex/165178467537.1.tex,Database,182193951937,pt,507192767485,Mathematics,612152797413,6,zz,102101560845,,Skipped,True,True,Record skipped - Status is 'Skipped' (only 'Mapped' records with Source='JSON' are processed)
165178467537,102101560845.1.1.tex,,question/Translation/165178467537/165178467537.figures/102101560845.1.1.tex,,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/165178467537/tex/165178467537.figures/102101560845.1.1.tex,Database,182193951937,pt,507192767485,Mathematics,612152797413,6,zz,102101560845,,Skipped,True,True,Record skipped - Status is 'Skipped' (only 'Mapped' records with Source='JSON' are processed)
165178467537,1.svg,165178467537.01.svg,https://images.nagwa.com/figures/165178467537/1.svg,165178467537.01.svg,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/165178467537/Updated/165178467537.01.svg,JSON,182193951937,pt,507192767485,Mathematics,612152797413,6,zz,102101560845,,Success,True,True,
183179603159,183179603159.1.svg,,question/Clone/183179603159/183179603159.1.svg,,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/183179603159/tex/183179603159.1.svg,Database,938197912174,pt,272104131931,Mathematics,923158968214,3,eg,213129827247,769184930654,Skipped,True,True,Record skipped - Status is 'Skipped' (only 'Mapped' records with Source='JSON' are processed)
183179603159,213129827247.1.tex,,question/Clone/183179603159/183179603159.figures/213129827247.1.tex,,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/183179603159/tex/183179603159.figures/213129827247.1.tex,Database,938197912174,pt,272104131931,Mathematics,923158968214,3,eg,213129827247,769184930654,Skipped,True,True,Record skipped - Status is 'Skipped' (only 'Mapped' records with Source='JSON' are processed)
183179603159,213129827247.1.tex,,question/Clone/183179603159/213129827247.1.tex,,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/183179603159/tex/213129827247.1.tex,Database,938197912174,pt,272104131931,Mathematics,923158968214,3,eg,213129827247,769184930654,Skipped,True,True,Record skipped - Status is 'Skipped' (only 'Mapped' records with Source='JSON' are processed)
183179603159,213129827247.2.svg,,question/Clone/183179603159/213129827247.2.svg,,E:/ContentMigrationPipelineOutput/Step4_OUTPUT/183179603159/tex/213129827247.2.svg,Database,938197912174,pt,272104131931,Mathematics,923158968214,3,eg,213129827247,769184930654,Skipped,True,True,Record skipped - Status is 'Skipped' (only 'Mapped' records with Source='JSON' are processed)
